Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1980,10.59,0.67,0,0.12,11.38
1981,33.4,1.96,0,0.32,35.77
1982,26.92,1.65,0,0.31,28.86
1983,7.76,0.8,8.1,0.14,16.79
1984,33.28,2.1,14.27,0.7,50.36
1985,33.73,4.74,14.56,0.92,53.94
1986,12.5,2.84,19.81,1.93,37.07
1987,8.46,1.41,11.63,0.2,21.74
1988,23.87,6.59,15.76,0.99,47.22
1989,45.15,8.44,18.36,1.5,73.45
1990,25.46,7.63,14.88,1.4,49.39
1991,12.76,3.95,14.78,0.74,32.23
1992,33.89,11.71,28.91,1.65,76.17
1993,16.9,5.18,25.36,0.97,48.4
1994,28.16,14.88,33.99,2.2,79.18
1995,24.83,14.9,45.75,2.64,88.11
1996,86.76,47.26,57.44,7.69,199.15
1997,94.75,48.32,48.87,9.13,200.98
1998,128.36,66.9,50.04,11.01,256.45
1999,126.06,62.67,52.34,10.04,251.25
2000,94.5,52.77,42.77,11.62,201.58
2001,173.98,94.89,39.86,22.73,331.47
2002,216.19,109.75,41.76,27.27,395.51
2003,193.61,103.81,34.2,25.92,357.8
2004,222.51,107.28,41.65,47.24,419.05
2005,242.15,121.11,54.27,40.29,458.31
2006,262.13,127.89,73.74,53.95,518.22
2007,309.89,157.82,60.29,76.75,605.37
2008,348.69,181.14,60.25,81.42,671.79
2009,335.55,187.94,61.89,73.44,658.88
2010,300.65,171.42,59.49,58.57,590.59
2011,238.79,162.97,53.07,52.75,507.79
2012,153.26,114.59,51.8,36.19,355.84
2013,153.65,121.55,47.69,38.35,361.24
2014,132.27,122.74,39.69,36.83,331.51
2015,106.86,96.72,34.09,30.31,268.05
2016,44.93,51.22,19.31,14.48,130.1
,4343.2,2340.54,1104.25,770.82,8238.22
,,,,,
,4402.62,2424.67,1297.43,791.34,8920.3
